category,content,link,title
100,"""2020 시대정신, 국민 여망, 쇄신 바라는 마음 담아""[서울=뉴시스] 장세영 기자 = 박맹우 (오른쪽 두번째)자유한국당 총선기획단 단장이 21일 오후 서울 여의도 국회에서 열린 비공개 총선기획단 전략회의에 참석해 자료바구니를 받고 있다. 2019.11.21. photothink@newsis.com[서울=뉴시스]박준호 김지은 기자 = 자유한국당이 내년 21대 국회의원 총선거에서 현역 의원을 3분의1이상 교체하는 수준의 공천 룰을 21일 확정했다.당 총선기획단 단장인 박맹우 사무총장은 이날 오후 비공개 회의에서 공천 룰에 관한 내부 논의를 거쳐 이 같은 내용을 발표했다. 박 사무총장은 ""현역 의원 절반 이상을 교체하는 개혁공천을 하겠다""며 ""교체율을 높이기 위해 현역 의원 3분의1 이상 컷오프하기로 했다""고 밝혔다.그는 ""2020 시대정신, 또 국민의 여망, 많은 국민들이 쇄신과 혁신을 바라는 이 즈음에 거기에 부응하기 위해 현역의원 50% 교체율을 말씀드렸다""며 ""이 50% 교체를 하기 위해서는 이 정도의 컷오프가 필요하다, 이렇게 판단을 한 것""이라고 부연했다.박 사무총장은 ""이제 큰 틀에서 방향을 정했기 때문에 거기에 대한, 예를 들면 컷오프에 대한 여러가지 구체화 작업, 이것을 심도있게 (논의)할 것""이라고 했다.총선기획단 총괄팀장인 이진복 의원은 ""향후 총선까지 가는 로드맵을 이제 곧 다 완성해서 거기에 따라서 진행을 하게 될 것""이라며 ""그런데 여러가지 변수들이 있기 때문에 고민들 좀 해야될 부분들이 많이 있다""고 했다.황 대표의 단식투쟁 기간 중에 공천 룰을 발표한 것을 두고 지도부 리더십 논란을 의식한 것 아니냐는 지적도 나온다.이에 전희경 의원은 ""저희는 국민들께서 내년 총선을 어떻게 보고계시는지를 잘 알고 있다""며 ""자유한국당의 변화를 기다리시는 그 여망을 총선기획단에서 담아내려고 노력하고 있고 오늘의 발표도 그 일환이다""라고 일축했다.◎공감언론 뉴시스 pjh@newsis.com, whynot82@newsis.com▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009569660,"한국당, 현역 의원 '절반' 교체…3분의1 이상 '컷오프'(2보)"
100,(부산=연합뉴스) 김주형 기자 = 이낙연 국무총리가 21일 오후 부산 해운대 벡스코에서 열린 2019 국가 대테러종합훈련 참석 후 이동하며 시민들과 기념촬영 하고 있다. 2019.11.21    kjhpress@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011228623,부산 시민들과 함께 '찰칵'
100,"(서울=뉴스1) 임세영 기자 = 박맹우 자유한국당 총선기획단 단장이 21일 오후 서울 여의도 국회 정론관에서 총선기획단 회의 결과 브리핑을 마치고 취재진의 질문을 받고 있다. 2019.11.21/뉴스1seiyu@news1.kr▶ [ 크립토허브 ] ▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0004318341,취재진 질문 받는 박맹우 단장
100,(부산=연합뉴스) 차근호 기자 = 한·아세안 특별정상회의를 나흘 앞둔 21일 부산 해운대구 벡스코에서 열린 2019 국가 대테러 종합훈련에서 대테러 진압 요원들이 패스트 로프를 이용해 건물 옥상으로 강하하는 시범을 보이고 있다. 2019.11.21    ready@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011228622,건물 옥상으로 강하하는 경찰특공대
100,(부산=연합뉴스) 차근호 기자 = 한·아세안 특별정상회의를 나흘 앞둔 21일 부산 해운대구 벡스코에서 열린 2019 국가 대테러 종합훈련에서 대테러 진압 요원들이 패스트 로프를 이용해 건물 옥상으로 강하하는 시범을 보이고 있다. 2019.11.21    ready@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011228621,패스트 로프 강하
100,"자유한국당이 내년 총선에서 소속 현역 의원을 절반 이상 교체키로 했다고 21일 밝혔다.한국당 총선기획단 단장인 박맹우 사무총장은 이날 국회 정론관 브리핑에서 “총선기획단은 오늘 2020시대정신과 국민적 여망을 담아 개혁공천을 단행키로 했다”며 이 같은 회의 결과를 전했다.박 사무총장은 이어 “교체율을 높이기 위해서 현역의원 3분의 1이상 ‘컷 오프’를 실시키로 했다”며 “향후 공천 방향과 컷오프에 관한 세부 사항은 치열하고도 힘든 논의를 계속하기로 했다”고 밝혔다.한국당 총선기획단이 이날 현역 의원 절반 이상 교체라는 ‘강수’를 둔 것은 최근 당 싱크탱크인 여의도연구소 소장인 김세연 의원이 불출마 선언과 함께 ‘당 해체’를 요구한 이후 당 안팎의 쇄신 요구가 분출되고 있는 데 따른 조치로 풀이된다. 김 의원의 불출마 이후에도 당 중진들이 출마 강행 의사를 보이며 ‘버티기’에 들어간 상황에서 더 이상 자율적인 ‘희생’을 기대하기 어렵다는 판단도 작용한 것으로 보인다.여기에 황교안 대표가 국정 쇄신을 요구하며 단식에 들어간 상황에서 통해 당을 향한 변화 요구에 부응하는 모습으로 문재인 정부에 대한 공세의 동력을 끌어올려야 한다는 판단도 작용했을 것으로 풀이된다.그러나 총선기획단은 공천 관련 세부 사항에 대해서는 추후 논의해봐야 한다는 입장이어서 변수가 생길 가능성도 있어 보인다. 물갈이 대상으로 유력한 영남권 중진들 등의 거센 반발도 예상된다.이에 총선기획단 총괄팀장인 이진복 의원은 “반발 부분에 대해서는 걱정 안 해도 되는게 앞으로 만들 공천 룰이 얼마나 공정하느냐에 달렸다. 과거처럼 누구를 찍어내기 위해서 룰을 만드는 게 아니다”며 “모두에게 똑같이 적용되는 정의로운 룰을 만들면 의원들도 납득할 것”이라고 말했다. 전창훈 기자 jch@▶ 네이버에서 부산일보 구독하기 클릭!▶ 터치 부산 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=082&aid=0000959825,한국당 총선기획단 “내년 총선 공천에서 현역 의원 절반 이상 교체”
100,"인적쇄신 압박을 받고 있는 자유한국당이 21대 총선 때 현역의원 절반 이상을 교체하는 승부수를 들고 나왔다.   한국당 총선기획단장인 박맹우(사진 가운데) 사무총장은 21일 총선기획단 회의 뒤 브리핑을 통해 ""2020시대정신과 국민적 염원 담아 다음과 같이 결정했다""며 △현역의원 절반이상 교체하는 개혁공천 △ 현역의원 3분의1 이상 컷오프를 단행한다고 알렸다.    박 사무총장은 ""앞으로 공천방향과 컷오프 세부사항에 대해 심도있는 논의를 이어갈 예정이며 과감한 쇄신과 변화를 실천하겠다""고 밝혔다.   박태훈 기자 buckbak@segye.com, 사진=뉴스1ⓒ 세상을 보는 눈, 세계일보",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003415994,[속보] 한국당 현역 의원 1/3 이상 컷오프…개혁공천키로
100,"21일 박맹우 ""현역의원 1/3이상 컷오프""자유한국당 총선기획단장인 박맹우 사무총장(왼쪽 두번째)이 21일 국회에서 열린 전략회의에서 발언하고 있다/사진=연합뉴스박맹우 자유한국당 총선기획단 단장은 21일 국회정론관 기자회견을 통해 ""한국당은 의원 절반 이상을 물갈이하겠다""며 ""실행 효율을 높이기 위해 현역의원 1/3이상을 컷오프시키겠다""고 발표했다.박 사무총장은 ""2020시대정신, 국민의 여망, 쇄신·혁신에 대한 국민의 요구에 부응하기 위해 현역 50% 교체 비율을 정했다""며 ""50% 교체를 위해서는 이 정도(3분의 1 이상)의 컷오프는 필요하다고 판단했다""고 전했다.배성수 한경닷컴 기자 baebae@hankyung.com기사제보 및 보도자료 newsinfo@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004245248,"[속보] 한국당 ""의원 절반 물갈이…내년 총선서 현역 의원 3분의 1 컷오프"""
100,(부산=연합뉴스) 차근호 기자 = 한·아세안 특별정상회의를 나흘 앞둔 21일 부산 해운대구 벡스코에서 열린 2019 국가 대테러 종합훈련에서 테러범이 자동차를 이용해 테러를 기도하는 장면이 시연되고 있다. 2019.11.21    ready@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011228620,화염에 휩싸인 자동차
100,(부산=연합뉴스) 차근호 기자 = 한·아세안 특별정상회의를 나흘 앞둔 21일 부산 해운대구 벡스코에서 열린 2019 국가 대테러 종합훈련에서 테러범의 화학 공격에 대테러 요원들이 제독 작업을 하고 있다. 2019.11.21    ready@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011228619,화학 공격에 제독 작업하는 요원들
